title,acting,diretion,music,story,effect
10 Cloverfield Lane,0.04439537448977669,0.023587116000690474,0.050573430010201335,0.04012205997434013,0.017440554341144558
10 Things I Hate About You,0.0475078730556728,0.04880003940518103,0,0,0.052332626010114236
12 Angry Men,0.0776713612883227,0.05089500564681915,0.071653927674076,0.06563649405982928,0.051313508170719974
12 Years a Slave,0.00977862421423945,0.02636305951150894,0.011073671901458818,0.023985878452818153,0.02285138434728609
127 Hours,0.02755237768183114,0.04445829947395339,0.11013071862840962,0,0.031713351111065075
1408,0.03583047715864346,-0.005285375082021789,0.00459852115938065,-0.0004296620550641554,0.01456606409657444
1941,0,0,0,0,0
2012,-0.003181195045068863,-0.0015318254644396323,-0.02048044486029522,-0.01488773766752981,0.011824086738650546
21,0.05468482033424575,0.057076057478619394,0.044310736272405046,0.07668528018447654,0.036559819080144995
21 Jump Street,0.023353363388728465,0.027836358883990858,0.044852377646270716,0,0.032913760910634325
22 Jump Street,0.03578520097639282,0.038567345333564367,0.0320941154957272,0.042189695886845874,0.03752797388882591
28 Days Later...,0.06575306621548252,0.004579870479998711,0,0.002050434542949227,0.006424630176412769
28 Weeks Later,0.05056132882272754,0.009930237101080385,0,0.020220953913228704,0.007598621518692892
3 Idiots,0.05529999280697931,0.05271927097430144,0,0,0.05540255547027466
30 Days of Night,0.018478225832708205,0.008016193962696146,0.027959426113377074,0,0.009364703878608821
300,0.02122706867841588,0.018866334011928658,0.016805187040190094,0.02519051983467721,0.012310227590260445
3_10 to Yuma,0.04105069433062706,0.034961042121159865,0.08124507423862722,0,0.032011432541941144
42,0.10562883646102231,0.037109275185278824,0.03682872783979041,0.04055659755982669,0
50 First Dates,0.03670083720148358,0.06054997890160601,0.0634580963134331,0,0.059095920195692465
54,0.03684783387129739,0,0,0,0
8 Mile,0.04463269795113166,0.029677737940459515,0.05299740186039414,0.017113796653735934,0.03132530196581193
A Beautiful Mind,0.04524896836194063,0.04592503365868556,0.08904880140834809,0,0.052782910478797636
A Bug's Life,0.1544110340303817,0.06807675968722195,0.08860889489216654,0,0.04347889762332838
A Night at the Roxbury,0.033423617887836155,0.04560238738605737,0.031568027640744456,0.054099361460786824,0.03651912171427309
A Nightmare on Elm Street,-0.020493886007499983,-0.004610019519401182,0,0,-0.007256331024965163
A Walk to Remember,0,0.024208003174231444,0,0,0
About Time,0.08624839004656722,0.0784825764199953,0.0814751624543382,0.10453294053848208,0.07588990041195132
Abraham Lincoln_ Vampire Hunter,0.01627641881907576,0.015592764049669765,0.023306802804518065,0.010975850570297575,0.02175824016678001
Across the Universe,0.03211813485034805,0.02727792914818447,0.037080323742742664,0,0.029637040404150737
Airlift,0.054574384509544646,0.06193483589649342,0.1291881709999721,0,0.048065927049362495
Alexander,0.01721287835842566,0.016776480913329565,0.026217826684823607,0.008602015700186719,0.02537323964592281
Ali,0.06276946521256693,0.044544852244687086,0.06371889684820721,0.043477729966229145,0.05548454698676549
Alice in Wonderland,0.018353805637171868,0,0.015716594364224554,0,0.019450387405258993
Aliens,0.03233790147531482,0.05275571950440551,0.06610680045142132,0.07901422713155529,0.043865591934703324
Alien_ Covenant,-0.012022919245280114,-0.006482752233750103,-0.006301757364299416,-0.002163185058678671,-0.004032041179982592
Alien_ Resurrection,-0.0021286051044797243,-0.016150466608897462,0.006754233044933654,-0.02097272403136482,-0.014183566592055566
All the President's Men,0.039268495450780594,0.045728767801533,0.09107519589440252,0,0.04254642408973973
American Beauty,0.03338646702325627,0.03682417243245063,0.04091288328760452,0.03570603330196982,0.03893250213782247
