id,original_title,cast,director,genres,production_companies,keywords,release_year,imdb_id
333371,10 Cloverfield Lane,"['maryelizabethwinstead', 'johngoodman', 'johngallagherjr']",['dantrachtenberg'],"['thriller', 'sciencefiction', 'drama']","['paramountpictures', 'badrobot', 'spectrumeffects']","['kidnapping', 'bunker', 'paranoia']",2016.0,
4951,10 Things I Hate About You,"['juliastiles', 'heathledger', 'josephgordonlevitt']",['giljunger'],"['comedy', 'romance', 'drama']","['madchance', 'jaretentertainment', 'touchstonepictures']","['shakespeare', 'sister', 'highschool']",1999.0,tt0147800
389,12 Angry Men,"['henryfonda', 'martinbalsam', 'johnfiedler']",['sidneylumet'],['drama'],"['unitedartists', 'orionnovaproductions']","['judge', 'jurors', 'sultriness']",1957.0,
76203,12 Years a Slave,"['chiwetelejiofor', 'michaelfassbender', 'lupitanyongo']",['stevemcqueen'],"['drama', 'history']","['planbentertainment', 'regencyenterprises', 'riverroadentertainment', 'film4', 'newregencypictures']","['whip', 'kidnapping', 'slavery']",2013.0,tt2024544
44115,127 Hours,"['jamesfranco', 'katemara', 'ambertamblyn']",['dannyboyle'],"['adventure', 'drama', 'thriller']","['foxsearchlightpictures', 'duneentertainment', 'darlowsmithsonproductions', 'warnerbros', 'cloudeightfilms']","['mountain', 'despair', 'adventure']",2010.0,tt1542344
3021,1408,"['johncusack', 'samuelljackson', 'marymccormack']",['mikaelhåfström'],"['horror', 'thriller']","['theweinsteincompany', 'dibonaventurapictures', 'dimensionfilms']","['suicide', 'newyork', 'hotel']",2007.0,
11519,1941,"['danaykroyd', 'nedbeatty', 'johnbelushi']",['stevenspielberg'],"['action', 'comedy']","['columbiapictures', 'universalpictures', 'ateam']","['submarine', 'california', 'worldwarii']",1979.0,
14161,2012,"['johncusack', 'amandapeet', 'chiwetelejiofor']",['rolandemmerich'],"['action', 'adventure', 'sciencefiction']","['columbiapictures', 'centropolisentertainment', 'themarkgordoncompany', 'farewellproductions']","['civilization', 'naturaldisaster', 'endoftheworld']",2009.0,
8065,21,"['jimsturgess', 'kevinspacey', 'katebosworth']",['robertluketic'],"['drama', 'crime']","['columbiapictures', 'relativitymedia']","['gambling', 'cardgame', 'professor']",2008.0,
64688,21 Jump Street,"['channingtatum', 'jonahhill', 'brielarson']","['phillord', 'christophermiller']","['action', 'comedy', 'crime']","['columbiapictures', 'originalfilm', 'stephenjcannellproductions', 'relativitymedia', 'metrogoldwynmayermgm']","['malefriendship', 'highschool', 'parody']",2012.0,tt1232829
187017,22 Jump Street,"['jonahhill', 'channingtatum', 'davefranco']","['phillord', 'christophermiller']","['crime', 'comedy', 'action']","['columbiapictures', 'originalfilm', 'mediarightscapital', 'metrogoldwynmayermgm', 'cannellstudios']","['highschool', 'undercovercop', 'buddycomedy']",2014.0,tt2294449
170,28 Days Later...,"['cillianmurphy', 'naomieharris', 'noahhuntley']",['dannyboyle'],"['horror', 'thriller', 'sciencefiction']","['dnafilms', 'britishfilmcouncil']","['londonengland', 'taxi', 'manchestercity']",2002.0,tt0289043
