id,original_title,cast,director,genres,production_companies,keywords,release_year
245950,The Dragonphoenix Chronicles: Indomitable,"['thanoskermitsis', 'yannisrubusrubulias', 'constantinageorganta']",['thanoskermitsis'],"['adventure', 'action', 'fantasy']",['avalonproductions'],"['sword', 'slave', 'warrior']",2014
227348,Paranormal Activity: The Marked Ones,"['andrewjacobs', 'richardcabral', 'carlospratts']",['christopherblandon'],"['horror', 'thriller']","['blumhouseproductions', 'room11', 'solanafilms']","['supernatural', 'demon', 'foundfootage']",2014
245775,Yves Saint Laurent,"['pierreniney', 'guillaumegallienne', 'nikolaikinski']",['jalillespert'],['drama'],"['snd', 'wyproductions', 'hérodiade', 'umedia', 'vértigofilms']","['biography', 'fashiondesigner', 'fashion']",2014
184352,Tom à la ferme,"['xavierdolan', 'pierreyvescardinal', 'liseroy']",['xavierdolan'],"['drama', 'thriller']",['mk2productions'],"['gay', 'homophobia', 'psychopath']",2014
234155,Asier ETA biok,"['guillermotoledo', 'aitormerino', 'juandiegobotto']","['aitormerino', 'amayamerino']","['documentary', 'history']",['doxaproducciones'],['biography'],2014
255756,白日焰火,"['wangxuebing', 'gweilunmei', '廖凡']",['yinandiao'],"['crime', 'drama', 'mystery']","['chinafilmcompany', 'omnijoimedia', 'boneyardentertainmentchina']","['china', 'suspense']",2014
254065,The Gabby Douglas Story,"['reginaking', 'sepathamerkerson', 'imanihakim']",['greggchampion'],"['tvmovie', 'drama']","['sonypicturestelevision', 'braunentertainmentgroup']","['gymnastics', 'olympicgames']",2014
257155,Threads of Destiny,"['patrikhont', 'carolinaneurath', 'karllindqvist']",['rasmustirzitis'],"['sciencefiction', 'action', 'fantasy']",['branbomm'],['fanfilm'],2014
236737,Ocho apellidos vascos,"['claralago', 'danirovira', 'karraelejalde']",['emiliomartínezlázaro'],"['comedy', 'romance']","['telecincocinema', 'lazonafilms', 'kowalskifilms']","['fight', 'lie', 'basquecountry']",2014
257346,アベンジャーズ コンフィデンシャル：ブラック・ウィドウ ＆ パニッシャー,"['miyukisawashiro', 'tesshougenda', 'hideakitezuka']",['kenichishimizu'],"['animation', 'sciencefiction', 'action']","['madhouse', 'sonypicturesentertainmentjapan']","['marvelcomic', 'superhero', 'basedoncomic']",2014
256628,Takedown: The DNA of GSP,"['georgesstpierre', 'danawhite', 'joerogan']","['petersvatek', 'kristianmanchester']",['documentary'],"['jimmylee', 'triplexfilms', 'upsideupmediagroup']","['sport', 'mixedmartialarts']",2014
253239,Diplomatie,"['andrédussollier', 'nielsarestrup', 'burghartklaußner']",['volkerschlöndorff'],['drama'],"['gaumont', 'arte', 'filmoblige', 'blueprintfilm']","['paris', 'worldwarii', '14s']",2014
186997,L'image manquante,['randaldouc'],['rithypanh'],['documentary'],"['angoaagicoa', 'procirep', 'mediaprogrammeoftheeuropeanunion', 'artefrance', 'régioniledefrance', 'catherinedussartproductionscdp', 'centrenationalducinémaetdelimageaniméecnc', 'bophanaproduction']","['cambodia', 'genocide', 'clay']",2014
180299,The Raid 2: Berandal,"['ikouwais', 'arifinputra', 'okaantara']",['garethevans'],"['action', 'crime', 'thriller']","['ptmerantaufilms', 'xyzfilms']","['prison', 'undercover', 'fight']",2014
197796,La Belle et la Bête,"['vincentcassel', 'léaseydoux', 'andrédussollier']",['christophegans'],"['fantasy', 'romance']","['canalplus', 'studiobabelsberg', 'eskwad', 'tf1filmsproduction', 'tmc', 'pathé', '12films', 'tf1', 'ciné']","['basedonnovel', 'magic', 'castle']",2014
259879,20 Ft Below: The Darkness Descending,"['dannytrejo', 'kingaphilipps', 'frankkrueger']",['marcclebanoff'],['thriller'],['odysseymotionpictures'],"['police', 'movieinmovie', 'gang']",2014
276122,A Brony Tale,"['ashleighball', 'mikebernstein', 'jordandowns']",['brenthodge'],['documentary'],['hodgeefilms'],"['popculture', 'friendship', 'fanculture']",2014
262391,Qu'est-ce qu'on a fait au Bon Dieu,"['christianclavier', 'chantallauby', 'aryabittan']",['philippedechauveron'],['comedy'],['ugc'],"['france', 'marriage', 'racism']",2014
248376,E zhan,"['philipng', 'andyon', 'sammohung']",['wongchingpo'],"['action', 'crime']","['bonainternationalfilmgroup', 'kleinshamroy', 'megavisionpicturesmvp', 'galafilmdistribution']","['martialarts', 'hongkongmovie']",2014
82657,Flight 7500,"['ryankwanten', 'amysmart', 'lesliebibb']",['takashishimizu'],"['thriller', 'horror', 'mystery']","['vertigoentertainment', 'ozlapictures', 'ozlaproductions', 'cbsfilms']","['supernatural', 'flight', 'ghost']",2014
228028,Back in the Day,"['morenabaccarin', 'michaelrosenbaum', 'nickswardson']",['michaelrosenbaum'],['comedy'],['kimandjimproductions'],"['hometown', 'highschoolreunion']",2014
259943,归来,"['gongli', 'chendaoming', 'guotao']",['zhangyimou'],['drama'],['levisionpictures'],"['arrangedmarriage', 'laborcamp']",2014
204968,Jack Strong,"['marcindorociński', 'piotrnerlewski', 'patrickwilson']",['władysławpasikowski'],"['action', 'drama', 'crime']",['scorpiostudio'],"['spy', '17s', 'chase']",2014
267999,Fehér Isten,"['zsófiapsotta', 'sándorzsótér', 'lilihorváth']",['kornélmundruczó'],['drama'],"['protoncinema', 'filmpartners', 'polapandorafilmproduktions']","['dog', 'revolt']",2014
276935,Ek Villain,"['sidharthmalhotra', 'riteshdeshmukh', 'shraddhakapoor']",['mohitsuri'],"['action', 'thriller', 'romance']",['balajimotionpictures'],"['revenge', 'serialkiller']",2014
282268,Monty Python Live (Mostly),"['johncleese', 'terrygilliam', 'ericidle']","['ericidle', 'aubreypowell']",['comedy'],"['picturehouseentertainment', 'hipgnosisltd']","['live', 'montypython']",2014
163710,Hide Your Smiling Faces,"['ryanjones', 'nathanvarnson', 'colmoleary']",['danielpatrickcarbone'],['drama'],['flies'],['friendship'],2014
261813,Slaying the Badger,"['greglemond', 'bernardhinault']",['johndower'],['documentary'],['espnfilms'],['tourdefrance'],2014
252822,Kraftidioten,"['stellanskarsgård', 'pålsverrehagen', 'brunoganz']",['hanspettermoland'],"['thriller', 'action', 'comedy']","['zentropaentertainments', 'detdanskefilminstitut', 'paradoxproduksjon', 'filmiväst']","['stockholmsyndrome', 'kidnapping', 'revenge']",2014
261825,Efes Beyahasei Enosh,"['danaivgy', 'nellytagar', 'shaniklein']",['talyalavie'],"['drama', 'comedy']",['julyaugustproductions'],['womandirector'],2014
296778,Muerte en Buenos Aires,"['hugoarana', 'monicaantonopulos', 'fabiánarenillas']",['nataliameta'],"['crime', 'drama', 'mystery']",['bestiafilms'],['womandirector'],2014
243935,Rob the Mob,"['michaelpitt', 'ninaarianda', 'andygarcía']",['raymonddefelitta'],"['crime', 'drama']","['theexchange', 'rtmfilminc']","['runaway', 'fbi', 'love']",2014
137876,The Reckoning,"['jonathanlapaglia', 'hannamanganlawrence', 'alexwilliams']",['johnvsoto'],"['mystery', 'thriller', 'crime']",['filmscopeentertainment'],"['murder', 'crimescene', 'foundfootage']",2014
314285,Antboy II: Den røde furies hævn,"['oscardietz', 'amaliekrusejensen', 'samueltinggraf']",['askhasselbalch'],"['adventure', 'comedy', 'family']",['nimbusfilmproductions'],"['superhero', 'teensuperheroes']",2014
221902,"Deux jours, une nuit","['marioncotillard', 'fabriziorongione', 'oliviergourmet']","['lucdardenne', 'jeanpierredardenne']",['drama'],"['bimdistribuzione', 'lesfilmsdufleuve', 'archipel35', 'vlaamsaudiovisueelfonds', 'canal', 'eyeworks', 'francetelevision', 'radiotélévisionbelgefrancophonertbf', 'belgacom', 'ciné', 'voo', 'france2cinéma', 'mediaprogrammeoftheeuropeancommunity', 'euroimages']","['depression', 'suicideattempt', 'belgium']",2014
