id,popularity,budget,revenue,original_title,cast,director,genres,production_companies,vote_average
135397,32.985763,150000000,1513528810,jurassic world,"['chrispratt', 'brycedallashoward', 'irrfankhan', 'vincentdonofrio', 'nickrobinson']",['colintrevorrow'],"['action', 'adventure', 'sciencefiction', 'thriller']","['universalstudios', 'amblinentertainment', 'legendarypictures', 'fujitelevisionnetwork', 'dentsu']",6.5
76341,28.419936,150000000,378436354,mad max fury road,"['tomhardy', 'charlizetheron', 'hughkeaysbyrne', 'nicholashoult', 'joshhelman']",['georgemiller'],"['action', 'adventure', 'sciencefiction', 'thriller']","['villageroadshowpictures', 'kennedymillerproductions']",7.1
262500,13.112507,110000000,295238201,insurgent,"['shailenewoodley', 'theojames', 'katewinslet', 'anselelgort', 'milesteller']",['robertschwentke'],"['adventure', 'sciencefiction', 'thriller']","['summitentertainment', 'mandevillefilms', 'redwagonentertainment', 'neoreel']",6.3
140607,11.173104,200000000,2068178225,star wars force awakens,"['harrisonford', 'markhamill', 'carriefisher', 'adamdriver', 'daisyridley']",['jjabrams'],"['action', 'adventure', 'sciencefiction', 'fantasy']","['lucasfilm', 'truenorthproductions', 'badrobot']",7.5
168259,9.335014,190000000,1506249360,furious ,"['vindiesel', 'paulwalker', 'jasonstatham', 'michellerodriguez', 'dwaynejohnson']",['jameswan'],"['action', 'crime', 'thriller']","['universalpictures', 'originalfilm', 'mediarightscapital', 'dentsu', 'oneracefilms']",7.3
281957,9.1107,135000000,532950503,revenant,"['leonardodicaprio', 'tomhardy', 'willpoulter', 'domhnallgleeson', 'paulanderson']",['alejandrogonzã¡leziã±ã¡rritu'],"['western', 'drama', 'adventure', 'thriller']","['regencyenterprises', 'appianway', 'catchplay', 'anonymouscontent', 'newregencypictures']",7.2
87101,8.654359,155000000,440603537,terminator genisys,"['arnoldschwarzenegger', 'jasonclarke', 'emiliaclarke', 'jaicourtney', 'jksimmons']",['alantaylor'],"['sciencefiction', 'action', 'thriller', 'adventure']","['paramountpictures', 'skydanceproductions']",5.8
286217,7.6674,108000000,595380321,martian,"['mattdamon', 'jessicachastain', 'kristenwiig', 'jeffdaniels', 'michaelpeã±a']",['ridleyscott'],"['drama', 'adventure', 'sciencefiction']","['twentiethcenturyfoxfilmcorporation', 'scottfreeproductions', 'midatlanticfilms', 'internationaltraders', 'tsgentertainment']",7.6
211672,7.40416499999999,74000000,1156730962,minions,"['sandrabullock', 'jonhamm', 'michaelkeaton', 'allisonjanney', 'stevecoogan']","['kylebalda', 'pierrecoffin']","['family', 'animation', 'adventure', 'comedy']","['universalpictures', 'illuminationentertainment']",6.5
150540,6.326804,175000000,853708609,inside,"['amypoehler', 'phyllissmith', 'richardkind', 'billhader', 'lewisblack']",['petedocter'],"['comedy', 'animation', 'family']","['waltdisneypictures', 'pixaranimationstudios', 'waltdisneystudiosmotionpictures']",8.0
206647,6.200282,245000000,880674609,spectre,"['danielcraig', 'christophwaltz', 'lã©aseydoux', 'ralphfiennes', 'monicabellucci']",['sammendes'],"['action', 'adventure', 'crime']","['columbiapictures', 'danjaq', 'b24']",6.2
76757,6.189369,176000003,183987723,jupiter ascending,"['milakunis', 'channingtatum', 'seanbean', 'eddieredmayne', 'douglasbooth']","['lanawachowski', 'lillywachowski']","['sciencefiction', 'fantasy', 'action', 'adventure']","['villageroadshowpictures', 'duneentertainment', 'anarchosproductions', 'warnerbros']",5.2
264660,6.118847,15000000,36869414,ex machina,"['domhnallgleeson', 'aliciavikander', 'oscarisaac', 'sonoyamizuno', 'coreyjohnson']",['alexgarland'],"['drama', 'sciencefiction']","['dnafilms', 'universalpicturesinternationalupi', 'film4']",7.6
257344,5.984995,88000000,243637091,pixels,"['adamsandler', 'michellemonaghan', 'peterdinklage', 'joshgad', 'kevinjames']",['chriscolumbus'],"['action', 'comedy', 'sciencefiction']","['columbiapictures', 'happymadisonproductions']",5.8
99861,5.944927,280000000,1405035767,avengers age ultron,"['robertdowneyjr', 'chrishemsworth', 'markruffalo', 'chrisevans', 'scarlettjohansson']",['josswhedon'],"['action', 'adventure', 'sciencefiction']","['marvelstudios', 'primefocus', 'revolutionsunstudios']",7.4
273248,5.8984,44000000,155760117,hateful eight,"['samuelljackson', 'kurtrussell', 'jenniferjasonleigh', 'waltongoggins', 'demiã¡nbichir']",['quentintarantino'],"['crime', 'drama', 'mystery', 'western']","['doublefeaturefilms', 'theweinsteincompany', 'filmcolony']",7.4
260346,5.749758,48000000,325771424,taken ,"['liamneeson', 'forestwhitaker', 'maggiegrace', 'famkejanssen', 'dougrayscott']",['oliviermegaton'],"['crime', 'action', 'thriller']","['twentiethcenturyfoxfilmcorporation', 'm6films', 'canal', 'europacorp', 'cinã©']",6.1
102899,5.573184,130000000,518602163,antman,"['paulrudd', 'michaeldouglas', 'evangelinelilly', 'coreystoll', 'bobbycannavale']",['peytonreed'],"['sciencefiction', 'action', 'adventure']",['marvelstudios'],7.0
150689,5.556818,95000000,542351353,cinderella,"['lilyjames', 'cateblanchett', 'richardmadden', 'helenabonhamcarter', 'hollidaygrainger']",['kennethbranagh'],"['romance', 'fantasy', 'family', 'drama']","['waltdisneypictures', 'genrefilms', 'beaglepugfilms', 'allisonshearmurproductions']",6.8
131634,5.476958,160000000,650523427,hunger games mockingjay part ,"['jenniferlawrence', 'joshhutcherson', 'liamhemsworth', 'woodyharrelson', 'elizabethbanks']",['francislawrence'],"['war', 'adventure', 'sciencefiction']","['studiobabelsberg', 'studiocanal', 'lionsgate', 'waltdisneystudiosmotionpictures', 'colorforce']",6.5
158852,5.462138,190000000,209035668,tomorrowland,"['brittrobertson', 'georgeclooney', 'raffeycassidy', 'thomasrobinson', 'hughlaurie']",['bradbird'],"['action', 'family', 'sciencefiction', 'adventure', 'mystery']","['waltdisneypictures', 'babieka', 'a113']",6.2
307081,5.337064,30000000,91709827,southpaw,"['jakegyllenhaal', 'rachelmcadams', 'forestwhitaker', 'oonalaurence', '5cent']",['antoinefuqua'],"['action', 'drama']","['escapeartists', 'richeludwigproductions']",7.3
254128,4.907832,110000000,470490832,san andreas,"['dwaynejohnson', 'alexandradaddario', 'carlagugino', 'ioangruffudd', 'archiepanjabi']",['bradpeyton'],"['action', 'drama', 'thriller']","['newlinecinema', 'villageroadshowpictures', 'warnerbros', 'flynnpicturecompany']",6.1
216015,4.71040199999999,40000000,569651467,fifty shades grey,"['dakotajohnson', 'jamiedornan', 'jenniferehle', 'eloisemumford', 'victorrasuk']",['samtaylorjohnson'],"['drama', 'romance']","['focusfeatures', 'triggerstreetproductions', 'michaeldelucaproductions']",5.3
318846,4.648046,28000000,133346506,big short,"['christianbale', 'stevecarell', 'ryangosling', 'bradpitt', 'melissaleo']",['adammckay'],"['comedy', 'drama']","['paramountpictures', 'planbentertainment', 'regencyenterprises']",7.3
177677,4.566713,150000000,682330139,mission impossible rogue nation,"['tomcruise', 'jeremyrenner', 'simonpegg', 'rebeccaferguson', 'vingrhames']",['christophermcquarrie'],['action'],"['paramountpictures', 'skydanceproductions', 'chinamoviechannel', 'badrobot', 'tcproductions']",7.1
214756,4.564549,68000000,215863606,ted ,"['markwahlberg', 'sethmacfarlane', 'amandaseyfried', 'jessicabarth', 'giovanniribisi']",['sethmacfarlane'],['comedy'],"['universalpictures', 'mediarightscapital', 'fuzzydoorproductions']",6.3
207703,4.503789,81000000,403802136,kingsman secret service,"['taronegerton', 'colinfirth', 'samuelljackson', 'michaelcaine', 'markstrong']",['matthewvaughn'],"['crime', 'comedy', 'action', 'adventure']","['twentiethcenturyfoxfilmcorporation', 'marvfilms', 'tsgentertainment', 'cloudyproductions']",7.6
314365,4.062293,20000000,88346473,spotlight,"['markruffalo', 'michaelkeaton', 'rachelmcadams', 'lievschreiber', 'johnslattery']",['tommccarthy'],"['drama', 'thriller', 'history']","['participantmedia', 'openroadfilms', 'anonymouscontent', 'rocklinfaust', 'entertainmentonefeatures']",7.8
