id,popularity,original_title,cast,director,genres,production_companies,vote_average,keywords
135397,32.985763,"[3336, 293]","[5794, 3503, 4400]",[9684],"[3, 6, 9]","[853, 103, 233]",6.5,"[52, 2678, 2274]"
76341,28.419936,"[1071, 1513, 1713]","[1388, 359, 8363]",[1641],"[3, 6, 9]","[61, 1660]",7.1,"[145, 526, 234]"
262500,13.112507,[7354],"[2879, 8364, 360]",[3739],"[6, 9, 4]","[113, 1906, 3851]",6.3,"[18, 1554, 70]"
140607,11.173103999999999,"[260, 1208, 2741]","[227, 1389, 2431]",[2955],"[3, 6, 9]","[718, 23175, 2216]",7.5,"[396, 1313, 5748]"
168259,9.335014,[2742],"[746, 688, 347]",[2169],"[3, 8, 4]","[14, 276, 1043]",7.3,"[612, 2773, 55]"
281957,9.1107,[7355],"[438, 1388, 4401]",[4757],"[43, 1, 6]","[56, 1661, 10325]",7.2,"[53, 59, 18]"
87101,8.654359,"[3337, 11720]","[281, 4402, 8365]",[9685],"[9, 3, 4]","[16, 2217]",5.8,"[195, 246, 437]"
286217,7.6674,[4125],"[228, 904, 821]",[482],"[1, 6, 9]","[19, 216, 6696]",7.6,"[18, 884, 860]"
211672,7.40416499999999,[11721],"[331, 2432, 531]","[9686, 6392]","[10, 13, 6]","[14, 3852]",6.5,"[7046, 290, 68]"
150540,6.326804,[2334],"[2880, 8366, 8367]",[6393],"[2, 13, 10]","[27, 193, 10326]",8.0,"[130, 3974, 3256]"
206647,6.200282,[11722],"[689, 2073, 5795]",[2556],"[3, 6, 8]","[21, 3147, 23176]",6.2,"[110, 18, 720]"
76757,6.189369,"[3338, 11723]","[905, 690, 906]","[2557, 2558]","[9, 11, 3]","[61, 133, 4917]",5.2,"[3338, 211, 28]"
264660,6.118847,"[5309, 11724]","[3504, 3505, 2433]",[21029],"[1, 9]","[1044, 10327, 245]",7.6,"[154, 246, 3257]"
257344,5.984995,[11725],"[299, 907, 2434]",[1036],"[3, 2, 9]","[21, 257]",5.8,"[487, 1943, 26973]"
99861,5.944927,"[2335, 1345, 11726]","[300, 1561, 532]",[4497],"[3, 6, 9]","[423, 23177, 23178]",7.4,"[351, 47, 160]"
273248,5.8984,"[11727, 1514]","[143, 315, 533]",[1289],"[8, 1, 12]","[1166, 184, 1907]",7.4,"[781, 3258, 465]"
260346,5.749758,[5310],"[229, 348, 2881]",[6394],"[8, 3, 4]","[19, 1662, 124]",6.1,"[55, 44, 3975]"
102899,5.5731839999999995,[11728],"[534, 270, 5796]",[3740],"[9, 3, 6]",[423],7.0,"[351, 160, 279]"
150689,5.556818,[623],"[5797, 386, 8368]",[450],"[7, 11, 10]","[27, 10328, 23179]",6.8,"[623, 63, 294]"
131634,5.476958,"[1714, 789, 7356]","[1000, 747, 1562]",[3069],"[25, 6, 9]","[393, 69, 96]",6.5,"[1554, 5119, 70]"
158852,5.4621379999999995,[11729],"[3506, 282, 15544]",[2548],"[3, 10, 9]","[27, 10329, 23180]",6.2,"[683, 989, 2865]"
307081,5.337064,[11730],"[535, 691, 348]",[1642],"[3, 1]","[1167, 10330]",7.3,[30]
254128,4.907832,"[5311, 7357]","[580, 4403, 1110]",[6395],"[3, 1, 4]","[26, 61, 15]",6.1,"[132, 2427, 26974]"
216015,4.71040199999999,"[7358, 11731, 4126]","[15545, 8369, 5798]",[9687],"[1, 7]","[277, 6697, 4918]",5.3,"[18, 26975, 4324]"
318846,4.648046,"[149, 726]","[361, 536, 692]",[2559],"[2, 1]","[16, 1300, 56]",7.3,"[463, 2275, 38]"
177677,4.566713,"[970, 2743, 3339]","[240, 1788, 908]",[9688],[3],"[16, 2217, 23181]",7.1,"[40, 110, 3976]"
214756,4.5645489999999995,[5312],"[301, 2074, 1111]",[2074],[2],"[14, 1043, 6698]",6.3,"[7047, 47, 8360]"
207703,4.503789,"[11732, 60, 7359]","[8370, 410, 143]",[3741],"[8, 2, 3]","[19, 3148, 3149]",7.6,"[110, 3259, 3977]"
314365,4.062293,[7360],"[532, 531, 691]",[3742],"[1, 4, 23]","[513, 1470, 555]",7.8,"[426, 861, 496]"
294254,3.968891,"[1715, 2744, 11733]","[5799, 2882, 8371]",[9689],"[3, 9, 4]","[3853, 1908, 3149]",6.4,"[18, 782, 1715]"
280996,3.927333,"[339, 2745]","[822, 15546, 823]",[2170],"[12, 1]","[75, 3150, 1301]",6.4,"[40, 50, 5120]"
198184,3.899557,[11734],"[2883, 4404, 405]",[6396],"[8, 3, 9]","[21, 1043, 3151]",6.6,"[246, 396, 799]"
254470,3.877764,"[3340, 565]","[1563, 5800, 2075]",[541],"[2, 17]","[14, 1471, 10331]",6.8,"[17, 47, 2876]"
296098,3.6482099999999997,"[1716, 7361]","[151, 15547, 4405]",[336],"[4, 1]","[58, 103, 393]",7.1,"[110, 98, 456]"
257445,3.6445410000000003,[11735],"[581, 15548, 15549]",[4758],"[6, 5, 2]","[21, 276, 23182]",6.2,"[18, 63, 11]"
264644,3.557846,[790],"[2076, 15550, 1564]",[9690],"[1, 4]","[3152, 23183, 2611]",8.0,"[18, 11106, 816]"
339527,3.358321,[7362],"[2435, 3507, 316]",[21030],"[8, 1, 12]","[6699, 1301, 10332]",6.2,"[4, 152, 7048]"
105864,3.3391349999999997,"[223, 460]","[15551, 15552, 2436]",[6284],"[6, 13, 2]","[27, 193, 3854]",6.6,"[2274, 237, 11107]"
241554,3.23737,"[566, 83]","[229, 349, 5801]",[3070],"[3, 8, 1]","[394, 23184, 10333]",6.3,"[209, 55, 44]"
